Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,4109.700195,4129.990234,3999.429932,4075.000000,4075.000000,178
2019-10-03,4070.000000,4070.000000,3982.429932,3988.729980,3988.729980,149
2019-10-04,4044.280029,4044.280029,3951.649902,3955.939941,3955.939941,95
2019-10-07,3949.780029,3989.320068,3939.260010,3958.250000,3958.250000,88
2019-10-09,3965.830078,3982.000000,3955.239990,3982.000000,3982.000000,33
2019-10-10,3982.000000,4049.989990,3982.000000,4037.790039,4037.790039,280
2019-10-11,4065.000000,4065.000000,3960.000000,3999.270020,3999.270020,63
2019-10-14,4023.100098,4048.020020,4023.100098,4025.810059,4025.810059,44
2019-10-15,4025.000000,4066.000000,4025.000000,4066.000000,4066.000000,340
2019-10-16,4070.000000,4074.649902,4026.399902,4036.750000,4036.750000,74
2019-10-17,4080.000000,4126.580078,4080.000000,4103.609863,4103.609863,40
2019-10-18,4120.000000,4120.000000,4106.740234,4120.000000,4120.000000,62
2019-10-22,4140.000000,4144.819824,4097.060059,4120.830078,4120.830078,105
2019-10-23,4113.310059,4130.000000,4099.439941,4128.000000,4128.000000,11
2019-10-24,4120.000000,4128.000000,4100.430176,4110.759766,4110.759766,21
2019-10-25,4130.000000,4130.000000,4066.510010,4095.810059,4095.810059,86
2019-10-27,4166.000000,4188.000000,4144.069824,4144.919922,4144.919922,40
2019-10-29,4118.029785,4189.000000,4118.029785,4189.000000,4189.000000,146
2019-10-30,4200.000000,4230.000000,4188.410156,4188.410156,4188.410156,40
2019-10-31,4216.000000,4316.000000,4216.000000,4228.120117,4228.120117,101
2019-11-01,4228.120117,4228.120117,4192.859863,4192.859863,4192.859863,118
2019-11-04,4299.990234,4299.990234,4243.000000,4243.000000,4243.000000,64
2019-11-05,4243.000000,4257.919922,4230.000000,4239.000000,4239.000000,36
2019-11-06,4250.000000,4260.000000,4225.000000,4243.740234,4243.740234,62
2019-11-07,4280.000000,4298.040039,4252.569824,4292.129883,4292.129883,42
2019-11-08,4280.000000,4280.000000,4280.000000,4280.000000,4280.000000,5
2019-11-11,4261.930176,4261.930176,4211.640137,4256.049805,4256.049805,51
2019-11-13,4265.000000,4265.000000,4228.890137,4254.379883,4254.379883,19
2019-11-14,4234.529785,4249.870117,4232.509766,4249.839844,4249.839844,18
2019-11-15,4279.229980,4287.020020,4229.410156,4229.410156,4229.410156,21
2019-11-18,4300.000000,4300.000000,4219.310059,4219.310059,4219.310059,34
2019-11-19,4260.520020,4286.000000,4250.000000,4284.799805,4284.799805,69
2019-11-20,4295.069824,4303.339844,4250.509766,4250.509766,4250.509766,62
2019-11-21,4262.649902,4294.970215,4262.649902,4292.000000,4292.000000,53
2019-11-22,4251.279785,4277.100098,4251.279785,4268.430176,4268.430176,47
2019-11-25,4228.700195,4290.000000,4228.700195,4290.000000,4290.000000,23
2019-11-26,4292.000000,4338.370117,4292.000000,4309.959961,4309.959961,26
2019-11-27,4300.310059,4330.140137,4300.310059,4319.870117,4319.870117,3
2019-11-28,4335.720215,4350.000000,4303.240234,4339.930176,4339.930176,71
2019-11-29,4366.000000,4461.000000,4284.000000,4306.899902,4306.899902,36
